LoanId,Date,Description,Principal,Interest,Fees,Penalty,Due,Total Due,Principal Balance
1621672,02/12/2020,"Repayment, Admin Fee",0,"1,980.00",560.00,0,"2,540.00","2,540.00","6,600.00"
1621672,02/12/2020,Repayment,"6,600.00",0,0,0,"6,600.00","9,140.00",0
1621672,01/01/2021,"Make due, Marketing Fee",0,0,462.00,0,462.00,"9,602.00",0
1621672,02/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"9,687.80",0
1621672,03/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"9,773.60",0
1621672,04/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"9,859.40",0
1621672,05/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"9,945.20",0
1621672,06/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,031.00",0
1621672,07/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,116.80",0
1621672,08/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,202.60",0
1621672,09/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,288.40",0
1621672,10/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,374.20",0
1621672,11/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,460.00",0
1621672,12/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,545.80",0
1621672,13/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,631.60",0
1621672,14/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,717.40",0
1621672,15/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,803.20",0
1621672,16/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,889.00",0
1621672,17/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"10,974.80",0
1621672,18/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,060.60",0
1621672,19/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,146.40",0
1621672,20/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,232.20",0
1621672,21/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,318.00",0
1621672,22/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,403.80",0
1621672,23/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,489.60",0
1621672,24/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,575.40",0
1621672,25/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,661.20",0
1621672,26/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,747.00",0
1621672,27/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,832.80",0
1621672,28/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"11,918.60",0
1621672,29/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"12,004.40",0
1621672,30/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"12,090.20",0
1621672,31/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,"12,176.00",0
