LoanId,Date,Description,Principal,Interest,Fees,Penalty,Due,Total Due,Principal Balance
1569248,30/09/2020,Repayment,0,"3,827.36",0,0,"3,827.36","3,827.36","12,757.86"
1569248,30/09/2020,Repayment,"12,757.86",0,0,0,"12,757.86","16,585.22",0
1569248,30/10/2020,"Payment due: Principal, Interest, Marketing Fee",0,0,892.99,0,892.99,"17,478.21",0
1569248,31/10/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"17,644.06",0
1569248,01/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"17,809.91",0
1569248,02/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"17,975.76",0
1569248,03/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"18,141.61",0
1569248,04/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"18,307.46",0
1569248,05/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"18,473.31",0
1569248,06/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"18,639.16",0
1569248,07/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"18,805.01",0
1569248,08/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"18,970.86",0
1569248,09/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"19,136.71",0
1569248,10/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"19,302.56",0
1569248,11/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"19,468.41",0
1569248,12/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"19,634.26",0
1569248,13/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"19,800.11",0
1569248,14/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"19,965.96",0
1569248,15/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"20,131.81",0
1569248,16/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"20,297.66",0
1569248,17/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"20,463.51",0
1569248,18/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"20,629.36",0
1569248,19/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"20,795.21",0
1569248,20/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"20,961.06",0
1569248,21/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"21,126.91",0
1569248,22/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"21,292.76",0
1569248,23/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"21,458.61",0
1569248,24/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"21,624.46",0
1569248,25/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"21,790.31",0
1569248,26/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"21,956.16",0
1569248,27/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"22,122.01",0
1569248,28/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"22,287.86",0
1569248,29/11/2020,Penalty fee at 1% per day,0,0,0,165.85,165.85,"22,453.71",0
