LoanId,Date,Description,Principal,Interest,Fees,Penalty,Due,Total Due,Principal Balance
1786909,01/01/2021,"Repayment, Admin Fee",0,396.00,500.00,0,896.00,896.00,"7,920.00"
1786909,01/01/2021,Repayment,"7,920.00",0,0,0,"7,920.00","8,816.00",0
1786909,31/01/2021,Make due,0,0,0,0,0,"8,816.00",0
1786909,01/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"8,899.16",0
1786909,02/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"8,982.32",0
1786909,03/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,065.48",0
1786909,04/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,148.64",0
1786909,05/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,231.80",0
1786909,06/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,314.96",0
1786909,07/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,398.12",0
1786909,08/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,481.28",0
1786909,09/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,564.44",0
1786909,10/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,647.60",0
1786909,11/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,730.76",0
1786909,12/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,813.92",0
1786909,13/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,897.08",0
1786909,14/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"9,980.24",0
1786909,15/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,063.40",0
1786909,16/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,146.56",0
1786909,17/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,229.72",0
1786909,18/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,312.88",0
1786909,19/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,396.04",0
1786909,20/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,479.20",0
1786909,21/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,562.36",0
1786909,22/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,645.52",0
1786909,23/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,728.68",0
1786909,24/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,811.84",0
1786909,25/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,895.00",0
1786909,26/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"10,978.16",0
1786909,27/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"11,061.32",0
1786909,28/02/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"11,144.48",0
1786909,01/03/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"11,227.64",0
1786909,02/03/2021,Penalty fee at 1% per day,0,0,0,83.16,83.16,"11,310.80",0
